raw_text,text_tfidf,text_bert,time,label
﻿﻿오기가 생겨서 22뚫는거 꼭 봐야겠다 25보고 들어왔는데 22가 뚫려야 된다!! 1월에 들어왔는데 와리가리 횡보에  도파민 떡락중이다. 어제 밤 아이온큐랑 테슬라도 미안하다고 도파민 살짝 주더라~! 좀 가줘~!,오기가 생겨서 22뚫는거 꼭 봐야겠다 25보고 들어왔는데 22가 뚫려야 된다 1월에 들어왔는데 와리가리 횡보에 도파민 떡락중이다 어제 밤 아이온큐랑 테슬라도 미안하다고 도파민 살짝 주더라 좀 가줘,오기가 생겨서 22뚫는거 꼭 봐야겠다 25보고 들어왔는데 22가 뚫려야 된다!! 1월에 들어왔는데 와리가리 횡보에 도파민 떡락중이다. 어제 밤 아이온큐랑 테슬라도 미안하다고 도파민 살짝 주더라! 좀 가줘!,2025-04-02T09:12:53+09:00,0
﻿﻿애들아 형와따 형은 하이닉스에서 못먹어 본적이 없따!! 우리 잘해보자,애들아 형와따 형은 하이닉스에서 못먹어 본적이 없따 우리 잘해보자,애들아 형와따 형은 하이닉스에서 못먹어 본적이 없따!! 우리 잘해보자,2025-04-02T09:07:51+09:00,1
﻿﻿20만 닉스가 이렇게 빨리 돌아온다고?,20만 닉스가 이렇게 빨리 돌아온다고,20만 닉스가 이렇게 빨리 돌아온다고?,2025-04-02T09:06:57+09:00,1
﻿﻿점심값 감사감사,점심값 감사감사,점심값 감사감사,2025-04-02T09:05:43+09:00,1
﻿﻿공매 화력무냐ㄷㄷ,공매 화력무냐,공매 화력무냐ㄷㄷ,2025-04-02T09:03:59+09:00,0
﻿﻿미국증시는 막판에 말아올려서 오늘도 상승가능성이 있지만 오늘은 공매도 재개가 있어서 추매는 조금 신중해야할듯 결국엔 잘됬으면 좋겠네요,미국증시는 막판에 말아올려서 오늘도 상승가능성이 있지만 오늘은 공매도 재개가 있어서 추매는 조금 신중해야할듯 결국엔 잘됬으면 좋겠네요,미국증시는 막판에 말아올려서 오늘도 상승가능성이 있지만 오늘은 공매도 재개가 있어서 추매는 조금 신중해야할듯 결국엔 잘됬으면 좋겠네요,2025-04-02T06:37:20+09:00,0
﻿﻿공매도 해라 코쟁이야  싼 가격에 다 산다,공매도 해라 코쟁이야 싼 가격에 다 산다,공매도 해라 코쟁이야 싼 가격에 다 산다,2025-04-02T03:55:54+09:00,0
﻿﻿공매도금지 ㅋㅋㅋ,공매도금지,공매도금지 ㅋㅋㅋ,2025-04-02T00:50:46+09:00,0
﻿﻿100개 더 묻고 떠블로 간다~,100개 더 묻고 떠블로 간다,100개 더 묻고 떠블로 간다,2025-04-01T22:51:57+09:00,2
﻿﻿마치 폭풍전야 같네,마치 폭풍전야 같네,마치 폭풍전야 같네,2025-04-01T19:18:19+09:00,1
﻿﻿마감이 몇시인가요?,마감이 몇시인가요,마감이 몇시인가요?,2025-04-01T17:04:49+09:00,1
﻿﻿익절성공 ㅎㅎ,익절성공,익절성공 ㅎㅎ,2025-04-01T16:46:59+09:00,2
﻿﻿내일 풀매수🤪,내일 풀매수,내일 풀매수,2025-04-01T16:38:06+09:00,2
﻿﻿확실히 공매만 아니면 순항할 종목인데 말이죠… ㅠ,확실히 공매만 아니면 순항할 종목인데 말이죠,확실히 공매만 아니면 순항할 종목인데 말이죠 ㅠ,2025-04-01T15:40:46+09:00,0
﻿﻿외국인들 잠잠하던데 동시호가때 변동주려나?,외국인들 잠잠하던데 동시호가때 변동주려나,외국인들 잠잠하던데 동시호가때 변동주려나?,2025-04-01T15:15:01+09:00,1
﻿﻿18로 오거라,18로 오거라,18로 오거라,2025-04-01T15:11:50+09:00,1
﻿﻿닉스 발기함?,닉스 발기함,닉스 발기함?,2025-04-01T14:38:46+09:00,1
﻿﻿꼭 팔고나면 올라요ㅋㅋ,꼭 팔고나면 올라요,꼭 팔고나면 올라요ㅋㅋ,2025-04-01T14:36:03+09:00,1
﻿﻿관세발표 후 '선반영' '불확실성해소',관세발표 후 선반영 불확실성해소,관세발표 후 선반영 불확실성해소,2025-04-01T14:35:11+09:00,1
﻿﻿공매도가 없어서 그런가 폭주하네,공매도가 없어서 그런가 폭주하네,공매도가 없어서 그런가 폭주하네,2025-04-01T14:34:57+09:00,0
﻿﻿트럼프랑 주위장관보면 각 보면서 블러핑 하는게 아니라 진심으로 관세로 해결되는줄 알고 있음 레알임 지지율 한 40이하로 가야 관세 철회할듯,트럼프랑 주위장관보면 각 보면서 블러핑 하는게 아니라 진심으로 관세로 해결되는줄 알고 있음 레알임 지지율 한 40이하로 가야 관세 철회할듯,트럼프랑 주위장관보면 각 보면서 블러핑 하는게 아니라 진심으로 관세로 해결되는줄 알고 있음 레알임 지지율 한 40이하로 가야 관세 철회할듯,2025-04-01T14:20:41+09:00,1
﻿﻿내일 아니면 이번죽 안에쭉 빠지고  다시 평화를 찾을듯,내일 아니면 이번죽 안에쭉 빠지고 다시 평화를 찾을듯,내일 아니면 이번죽 안에쭉 빠지고 다시 평화를 찾을듯,2025-04-01T14:19:00+09:00,0
﻿﻿내일 관세 발표인데 어떨꺼같나요,내일 관세 발표인데 어떨꺼같나요,내일 관세 발표인데 어떨꺼같나요,2025-04-01T14:11:40+09:00,1
﻿﻿그만 올라가라 내일 사야해,그만 올라가라 내일 사야해,그만 올라가라 내일 사야해,2025-04-01T14:11:24+09:00,2
﻿﻿내일 떨어질 것 같아 무서워요🫣,내일 떨어질 것 같아 무서워요,내일 떨어질 것 같아 무서워요,2025-04-01T13:46:04+09:00,0
﻿﻿저녁밥 꺼억,저녁밥 꺼억,저녁밥 꺼억,2025-04-01T13:40:41+09:00,2
﻿﻿195600 10주 매수,195600 10주 매수,195600 10주 매수,2025-04-01T13:24:44+09:00,2
﻿﻿상법 거부권 행사했네요,상법 거부권 행사했네요,상법 거부권 행사했네요,2025-04-01T13:15:12+09:00,1
﻿﻿내일 부터 공매도 하면 다시 가격 떨어지는거 아니에요?,내일 부터 공매도 하면 다시 가격 떨어지는거 아니에요,내일 부터 공매도 하면 다시 가격 떨어지는거 아니에요?,2025-04-01T13:10:09+09:00,0
﻿﻿내일 트럼프 보고 사도 안늦어요,내일 트럼프 보고 사도 안늦어요,내일 트럼프 보고 사도 안늦어요,2025-04-01T12:59:25+09:00,1
﻿﻿주린입니다 공매도 과열이 뭔지 알려주실수있나요 ㅠㅠ??,주린입니다 공매도 과열이 뭔지 알려주실수있나요,주린입니다 공매도 과열이 뭔지 알려주실수있나요 ㅠㅠ??,2025-04-01T11:42:10+09:00,0
﻿﻿공매도 과열 ㅋㅋ,공매도 과열,공매도 과열 ㅋㅋ,2025-04-01T11:40:36+09:00,0
﻿﻿형들 하이닉스 작년 12월에는 배당락일이 없는건가요? 밀려서 2월27일로 바뀐건가요?,형들 하이닉스 작년 12월에는 배당락일이 없는건가요 밀려서 2월27일로 바뀐건가요,형들 하이닉스 작년 12월에는 배당락일이 없는건가요? 밀려서 2월27일로 바뀐건가요?,2025-04-01T11:39:27+09:00,1
﻿﻿거짓말같이 주식이 오르다니 ㅋㅋ,거짓말같이 주식이 오르다니,거짓말같이 주식이 오르다니 ㅋㅋ,2025-04-01T11:38:16+09:00,1
﻿﻿이게 맞아?,이게 맞아,이게 맞아?,2025-04-01T11:36:10+09:00,1
﻿﻿오늘 야식비 챙기자,오늘 야식비 챙기자,오늘 야식비 챙기자,2025-04-01T11:33:24+09:00,1
﻿﻿이정도면 기관 어제 안거 같은디? 오늘하는지,이정도면 기관 어제 안거 같은디 오늘하는지,이정도면 기관 어제 안거 같은디? 오늘하는지,2025-04-01T11:29:08+09:00,1
﻿﻿직장인들 커피만들어주는 기업이래서 잠깐넣어봤어요,직장인들 커피만들어주는 기업이래서 잠깐넣어봤어요,직장인들 커피만들어주는 기업이래서 잠깐넣어봤어요,2025-04-01T11:28:56+09:00,1
﻿﻿국장 깜짝이벤트 열기 식히는중 개미들 대단하네,국장 깜짝이벤트 열기 식히는중 개미들 대단하네,국장 깜짝이벤트 열기 식히는중 개미들 대단하네,2025-04-01T11:28:55+09:00,1
﻿﻿이 노무 내 손꾸락.... 계속 떨어진다길래 예약걸고 회의들어갔더니만..... 이리 오를 줄이야...ㅋ,이 노무 내 손꾸락 계속 떨어진다길래 예약걸고 회의들어갔더니만 이리 오를 줄이야,이 노무 내 손꾸락.... 계속 떨어진다길래 예약걸고 회의들어갔더니만..... 이리 오를 줄이야...ㅋ,2025-04-01T11:26:15+09:00,1
﻿﻿갑자기 ??,갑자기,갑자기 ??,2025-04-01T11:19:15+09:00,1
﻿﻿한화오션에 묶여서 이걸 못들어가네 아쉽,한화오션에 묶여서 이걸 못들어가네 아쉽,한화오션에 묶여서 이걸 못들어가네 아쉽,2025-04-01T11:17:35+09:00,1
﻿﻿오늘 생각보다 꽤 오르네,오늘 생각보다 꽤 오르네,오늘 생각보다 꽤 오르네,2025-04-01T11:12:33+09:00,2
﻿﻿사야할까요? 너무 높으니,사야할까요 너무 높으니,사야할까요? 너무 높으니,2025-04-01T11:10:52+09:00,1
﻿﻿단타 맛있겠다,단타 맛있겠다,단타 맛있겠다,2025-04-01T10:50:42+09:00,1
﻿﻿18때 와주라,18때 와주라,18때 와주라,2025-04-01T10:50:23+09:00,1
﻿﻿더 사고싶다,더 사고싶다,더 사고싶다,2025-04-01T10:43:22+09:00,1
﻿﻿내일부터 폭등입니다,내일부터 폭등입니다,내일부터 폭등입니다,2025-04-01T10:40:59+09:00,2
﻿﻿누르냐,누르냐,누르냐,2025-04-01T09:53:22+09:00,1
﻿﻿관세 이슈 적용이 당장 내일이에요. 다들 지금 진입하시기보단 내일 관세 정책이 어떻게 되는지 확인하고 한 일주일정도는 지켜보고 진입하시는게 나을까싶습니다.,관세 이슈 적용이 당장 내일이에요 다들 지금 진입하시기보단 내일 관세 정책이 어떻게 되는지 확인하고 한 일주일정도는 지켜보고 진입하시는게 나을까싶습니다,관세 이슈 적용이 당장 내일이에요. 다들 지금 진입하시기보단 내일 관세 정책이 어떻게 되는지 확인하고 한 일주일정도는 지켜보고 진입하시는게 나을까싶습니다.,2025-04-01T09:40:23+09:00,1
﻿﻿어디서 입 벌리고 있음 되나요?,어디서 입 벌리고 있음 되나요,어디서 입 벌리고 있음 되나요?,2025-04-01T09:40:19+09:00,1
﻿﻿곧 진입각이 열릴것이니 기다리고 참아라  꿀을 빨게 될것이로다~!!!,곧 진입각이 열릴것이니 기다리고 참아라 꿀을 빨게 될것이로다,곧 진입각이 열릴것이니 기다리고 참아라 꿀을 빨게 될것이로다!!!,2025-04-01T09:37:16+09:00,1
﻿﻿설마 음전하냐 최소한 이건 버텨줘야 할텐데,설마 음전하냐 최소한 이건 버텨줘야 할텐데,설마 음전하냐 최소한 이건 버텨줘야 할텐데,2025-04-01T09:35:53+09:00,1
﻿﻿이거는 내랑더럽게안맞네 한번을안주네,이거는 내랑더럽게안맞네 한번을안주네,이거는 내랑더럽게안맞네 한번을안주네,2025-04-01T09:30:06+09:00,1
﻿﻿더떨어져봐 추가매수하면 그만이야..ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ,더떨어져봐 추가매수하면 그만이야,더떨어져봐 추가매수하면 그만이야..ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ,2025-04-01T09:24:21+09:00,2
﻿﻿차트 드릅네 ㅋㅋ,차트 드릅네,차트 드릅네 ㅋㅋ,2025-04-01T09:22:22+09:00,1
﻿﻿쫌 더 사봅니다 ㅎㅎ,쫌 더 사봅니다,쫌 더 사봅니다 ㅎㅎ,2025-04-01T09:18:40+09:00,1
﻿﻿공매도 이 🐕 쉐이들 ㅈ오옷 된겨,공매도 이 쉐이들 오옷 된겨,공매도 이 쉐이들 ㅈ오옷 된겨,2025-04-01T09:15:42+09:00,0
﻿﻿제발,제발,제발,2025-04-01T09:11:50+09:00,1
﻿﻿숏 스퀴즈 가자..,숏 스퀴즈 가자,숏 스퀴즈 가자..,2025-04-01T09:10:15+09:00,2
﻿﻿어질어질하다~~~,어질어질하다,어질어질하다,2025-04-01T09:06:30+09:00,1
﻿﻿공매도? 숏스퀴즈나 났으면 좋겠네,공매도 숏스퀴즈나 났으면 좋겠네,공매도? 숏스퀴즈나 났으면 좋겠네,2025-04-01T09:04:44+09:00,0
﻿﻿공매도 과열 종목이래. 얼마나 공매도를 처발랐으면 공매도 실시 하루만에 과열이래. 진짜 ㅈ같은 종목이네,공매도 과열 종목이래 얼마나 공매도를 처발랐으면 공매도 실시 하루만에 과열이래 진짜 같은 종목이네,공매도 과열 종목이래. 얼마나 공매도를 처발랐으면 공매도 실시 하루만에 과열이래. 진짜 ㅈ같은 종목이네,2025-04-01T09:00:17+09:00,0
﻿﻿하이닉스는 18만에 사서 21만원에 매도. 이것만 반복하면 돈복사 꿀잼,하이닉스는 18만에 사서 21만원에 매도 이것만 반복하면 돈복사 꿀잼,하이닉스는 18만에 사서 21만원에 매도. 이것만 반복하면 돈복사 꿀잼,2025-04-01T08:52:52+09:00,0
﻿﻿외국인 폭격 시작,외국인 폭격 시작,외국인 폭격 시작,2025-04-01T08:51:08+09:00,1
﻿﻿일단 줄먹 ㅋㅋㅋ 어제보니까 더 떨어지더라고,일단 줄먹 어제보니까 더 떨어지더라고,일단 줄먹 ㅋㅋㅋ 어제보니까 더 떨어지더라고,2025-04-01T08:49:45+09:00,1
﻿﻿오늘살까 다음주살까?,오늘살까 다음주살까,오늘살까 다음주살까?,2025-04-01T08:38:43+09:00,1
﻿﻿딥시크가 연 ‘저가 HBM’ 시장… 삼성·SK하이닉스에 기회?,딥시크가 연 저가 HBM 시장 삼성SK하이닉스에 기회,딥시크가 연 저가 HBM 시장 삼성SK하이닉스에 기회?,2025-04-01T08:32:53+09:00,2
﻿﻿162000원에 매수 걸어놨는데 과연 매수가 될것인가 두둥!,162000원에 매수 걸어놨는데 과연 매수가 될것인가 두둥,162000원에 매수 걸어놨는데 과연 매수가 될것인가 두둥!,2025-04-01T08:31:40+09:00,2
﻿﻿오늘 공매도 막힘,오늘 공매도 막힘,오늘 공매도 막힘,2025-04-01T08:28:03+09:00,0
﻿﻿공매도 과열 ㄷㄷ... 일단 추매 시기는 좀더 봐야하나,공매도 과열 일단 추매 시기는 좀더 봐야하나,공매도 과열 ㄷㄷ... 일단 추매 시기는 좀더 봐야하나,2025-04-01T08:11:25+09:00,0
﻿﻿닉스 어제 처음 질렀는데 ㅠ,닉스 어제 처음 질렀는데,닉스 어제 처음 질렀는데 ㅠ,2025-04-01T08:04:45+09:00,1
﻿﻿싸게 산다 덕분에,싸게 산다 덕분에,싸게 산다 덕분에,2025-04-01T08:02:43+09:00,1
﻿﻿1. 나스닥 트럼프 관세 발표 경계심에 강보합.  - 트형 취임하고 이제 2달 지났는데 한 2년 지난거 같다...  2. 미 FDA 백신 책임자 사퇴에 바이오 섹터 주가 하락.  3. 원달러 환율 1474원.  - 한국 경제에 위기의 그림자가 느껴진다.  4. 화웨이 미국의 제재에도 지속적인 성장 작년 전체 매출 22% 성장 자동차는 6배 성장.  5. 미국 제조업 중국보다 경쟁력 뒤쳐져. 전기차(EV) 인공지능(Ai) 반도체 우주 등 미래 핵심 산업에서 중국에 크게 뒤쳐진 것으로 나타나.조선업 생산 능력에서는 500배 차이.  중국 신문 발표가 아니라 일본 닛케이 보도.   6. 남중국해 심해 유전 발견 하루 413배럴 생산 가능성 중국 에너지 자립에 청신호.  7. 김수현 인터뷰 요약 : 김새론이 성인이 된 후 1년간 교제 평범한 연인 가세연과 김새론 부모 측에 120억 손해배상 청구  8. 장제원 전 의원 숨진 채 발견 성폭행 혐의로 고소 당한 상황.  - ? 이건 생각도 못했는데...요새 진짜 내가 모르는 중요한 뭔가가 있나?,1 나스닥 트럼프 관세 발표 경계심에 강보합 트형 취임하고 이제 2달 지났는데 한 2년 지난거 같다 2 미 FDA 백신 책임자 사퇴에 바이오 섹터 주가 하락 3 원달러 환율 1474원 한국 경제에 위기의 그림자가 느껴진다 4 화웨이 미국의 제재에도 지속적인 성장 작년 전체 매출 22 성장 자동차는 6배 성장 5 미국 제조업 중국보다 경쟁력 뒤쳐져 전기차EV 인공지능Ai 반도체 우주 등 미래 핵심 산업에서 중국에 크게 뒤쳐진 것으로 나타나조선업 생산 능력에서는 500배 차이 중국 신문 발표가 아니라 일본 닛케이 보도 6 남중국해 심해 유전 발견 하루 413배럴 생산 가능성 중국 에너지 자립에 청신호 7 김수현 인터뷰 요약 김새론이 성인이 된 후 1년간 교제 평범한 연인 가세연과 김새론 부모 측에 120억 손해배상 청구 8 장제원 전 의원 숨진 채 발견 성폭행 혐의로 고소 당한 상황 이건 생각도 못했는데요새 진짜 내가 모르는 중요한 뭔가가 있나,1. 나스닥 트럼프 관세 발표 경계심에 강보합. 트형 취임하고 이제 2달 지났는데 한 2년 지난거 같다... 2. 미 FDA 백신 책임자 사퇴에 바이오 섹터 주가 하락. 3. 원달러 환율 1474원. 한국 경제에 위기의 그림자가 느껴진다. 4. 화웨이 미국의 제재에도 지속적인 성장 작년 전체 매출 22 성장 자동차는 6배 성장. 5. 미국 제조업 중국보다 경쟁력 뒤쳐져. 전기차EV 인공지능Ai 반도체 우주 등 미래 핵심 산업에서 중국에 크게 뒤쳐진 것으로 나타나.조선업 생산 능력에서는 500배 차이. 중국 신문 발표가 아니라 일본 닛케이 보도. 6. 남중국해 심해 유전 발견 하루 413배럴 생산 가능성 중국 에너지 자립에 청신호. 7. 김수현 인터뷰 요약 김새론이 성인이 된 후 1년간 교제 평범한 연인 가세연과 김새론 부모 측에 120억 손해배상 청구 8. 장제원 전 의원 숨진 채 발견 성폭행 혐의로 고소 당한 상황. ? 이건 생각도 못했는데...요새 진짜 내가 모르는 중요한 뭔가가 있나?,2025-04-01T07:43:05+09:00,0
﻿﻿공매도 막혔네 오르나,공매도 막혔네 오르나,공매도 막혔네 오르나,2025-04-01T06:53:02+09:00,0
﻿﻿신규 입성~^^,신규 입성,신규 입성,2025-04-01T03:16:34+09:00,2
