raw_text,text_tfidf,text_bert,time
﻿﻿아니 그니까. 너 왜 오르는 거냐고 ㅋㅋ,아니 그니까 너 왜 오르는 거냐고,아니 그니까. 너 왜 오르는 거냐고 ㅋㅋ,2025-04-02T05:46:39+09:00
﻿﻿4월 관세나 보고 넣을지 말지 고민해야겠네,4월 관세나 보고 넣을지 말지 고민해야겠네,4월 관세나 보고 넣을지 말지 고민해야겠네,2025-03-29T11:20:29+09:00
﻿﻿귀여우면 무죄니까,귀여우면 무죄니까,귀여우면 무죄니까,2025-04-01T23:18:47+09:00
﻿﻿130불 ㄱㄱ,130불,130불 ㄱㄱ,2025-03-24T22:32:08+09:00
﻿﻿설명할 시간이 없어 어서 타~,설명할 시간이 없어 어서 타,설명할 시간이 없어 어서 타,2025-03-24T17:06:48+09:00
﻿﻿숏갈까 망설이십니까?,숏갈까 망설이십니까,숏갈까 망설이십니까?,2025-03-24T21:13:44+09:00
﻿﻿꼬꾸라지고 있음ㅠ,꼬꾸라지고 있음,꼬꾸라지고 있음ㅠ,2025-04-02T00:30:54+09:00
﻿﻿아직멀었ㄷ어,아직멀었어,아직멀었ㄷ어,2025-03-25T00:16:11+09:00
﻿﻿럼쌤 한마디에 요동치는건가ㅋㅋㅋㅋㅋ,럼쌤 한마디에 요동치는건가,럼쌤 한마디에 요동치는건가ㅋㅋㅋㅋㅋ,2025-03-25T02:16:13+09:00
﻿﻿빨랑 130까지 원복 시켜,빨랑 130까지 원복 시켜,빨랑 130까지 원복 시켜,2025-03-27T23:39:51+09:00
﻿﻿주식.50년. 외길 人生. 젠슨 黃은. 타고난.장사꾼이다.다만.믿을.수업는.눈빛.가졌다. 예로부터.조상님들이.士農工商이라.하엿읍니다ㅡ. 사 농 공 상.중에.상놈이.제일.하빠리니.조심하라. 괜히.나온말.아니니.ㅋ 전자제품.파는놈.약파는놈이랑.비슷하다. 젠슨 黃은.그깟.오락기에.들어가는.콤푸ㅠ타부품.바가지씨워서.팔아재낀다. 부품.하나.열라게.비싸게. 파는데.너도나도. 다 팔아재낀다이제. 中國에서.곧. 다 따라집아서.앤디비아.성장판.콱.닿힌다. 이제.키. 더.못큰다.벌써. 2미다.키 넘었다.ㅋ 100달라.처참하게.무너진다. 사내자슥들이.때맞춰서.쑥. 뺄줄도.알아야지.아니면.크게.사고난다.ㅋ 끝까지.욕심부리고.버티면. 클난다.책임못진다.튀어라.ㅋ,주식50년 외길 젠슨 은 타고난장사꾼이다다만믿을수업는눈빛가졌다 예로부터조상님들이이라하엿읍니다 사 농 공 상중에상놈이제일하빠리니조심하라 괜히나온말아니니 전자제품파는놈약파는놈이랑비슷하다 젠슨 은그깟오락기에들어가는콤푸타부품바가지씨워서팔아재낀다 부품하나열라게비싸게 파는데너도나도 다 팔아재낀다이제 에서곧 다 따라집아서앤디비아성장판콱닿힌다 이제키 더못큰다벌써 2미다키 넘었다 100달라처참하게무너진다 사내자슥들이때맞춰서쑥 뺄줄도알아야지아니면크게사고난다 끝까지욕심부리고버티면 클난다책임못진다튀어라,주식.50년. 외길 . 젠슨 은. 타고난.장사꾼이다.다만.믿을.수업는.눈빛.가졌다. 예로부터.조상님들이.이라.하엿읍니다ㅡ. 사 농 공 상.중에.상놈이.제일.하빠리니.조심하라. 괜히.나온말.아니니.ㅋ 전자제품.파는놈.약파는놈이랑.비슷하다. 젠슨 은.그깟.오락기에.들어가는.콤푸ㅠ타부품.바가지씨워서.팔아재낀다. 부품.하나.열라게.비싸게. 파는데.너도나도. 다 팔아재낀다이제. 에서.곧. 다 따라집아서.앤디비아.성장판.콱.닿힌다. 이제.키. 더.못큰다.벌써. 2미다.키 넘었다.ㅋ 100달라.처참하게.무너진다. 사내자슥들이.때맞춰서.쑥. 뺄줄도.알아야지.아니면.크게.사고난다.ㅋ 끝까지.욕심부리고.버티면. 클난다.책임못진다.튀어라.ㅋ,2025-03-28T18:59:55+09:00
﻿﻿여기는 왜 찐이야??,여기는 왜 찐이야,여기는 왜 찐이야??,2025-03-26T23:29:44+09:00
﻿﻿봐 입질 했지,봐 입질 했지,봐 입질 했지,2025-03-28T23:04:52+09:00
﻿﻿가즈야 130,가즈야 130,가즈야 130,2025-03-25T00:37:00+09:00
﻿﻿그래 다같이 죽어보자!!!!,그래 다같이 죽어보자,그래 다같이 죽어보자!!!!,2025-03-26T23:47:47+09:00
﻿﻿혼자 늦게까지 세일하면 나중에 자금이 집중적으로 엔비에 몰릴수도 있겠다는생각,혼자 늦게까지 세일하면 나중에 자금이 집중적으로 엔비에 몰릴수도 있겠다는생각,혼자 늦게까지 세일하면 나중에 자금이 집중적으로 엔비에 몰릴수도 있겠다는생각,2025-03-25T10:14:30+09:00
﻿﻿님들은 콱 물린거시여~~대세를 못 읽으면 돈꼴아박는거시여~~,님들은 콱 물린거시여대세를 못 읽으면 돈꼴아박는거시여,님들은 콱 물린거시여대세를 못 읽으면 돈꼴아박는거시여,2025-03-31T08:43:31+09:00
﻿﻿얘 갑자기 왜이럼??..,얘 갑자기 왜이럼,얘 갑자기 왜이럼??..,2025-03-25T17:29:09+09:00
﻿﻿숏 하다가 100밑으로 내려가면 다시 와야되나,숏 하다가 100밑으로 내려가면 다시 와야되나,숏 하다가 100밑으로 내려가면 다시 와야되나,2025-03-31T10:09:12+09:00
﻿﻿또 빠지네…,또 빠지네,또 빠지네,2025-03-24T18:10:42+09:00
﻿﻿상호관세 발표 하고서 봐야지.. 이도 저도 못하고 있네요,상호관세 발표 하고서 봐야지 이도 저도 못하고 있네요,상호관세 발표 하고서 봐야지.. 이도 저도 못하고 있네요,2025-04-01T23:31:15+09:00
﻿﻿환율도 높아서 물타는것도 뭐같다는게 인지상정,환율도 높아서 물타는것도 뭐같다는게 인지상정,환율도 높아서 물타는것도 뭐같다는게 인지상정,2025-03-31T23:31:27+09:00
﻿﻿92불 지지선 곧,92불 지지선 곧,92불 지지선 곧,2025-03-29T00:42:33+09:00
﻿﻿갓비디아~~!!  바겐세일 중    자 어여들  매수  하세요. 싸게 들어갈 수 있는 기회 입니다.  🫡🫡👋🤗☀️🌸,갓비디아 바겐세일 중 자 어여들 매수 하세요 싸게 들어갈 수 있는 기회 입니다,갓비디아!! 바겐세일 중 자 어여들 매수 하세요. 싸게 들어갈 수 있는 기회 입니다.,2025-03-28T18:05:56+09:00
﻿﻿브이 그리는 맛이조티,브이 그리는 맛이조티,브이 그리는 맛이조티,2025-03-25T22:40:55+09:00
﻿﻿그냥 상폐가자,그냥 상폐가자,그냥 상폐가자,2025-03-27T22:32:57+09:00
﻿﻿전체적으로 다 망하는데 언제까지 흐를거냐..,전체적으로 다 망하는데 언제까지 흐를거냐,전체적으로 다 망하는데 언제까지 흐를거냐..,2025-03-31T09:12:39+09:00
﻿﻿아 ㅋㅋㅋㅋ,아,아 ㅋㅋㅋㅋ,2025-03-25T04:35:32+09:00
﻿﻿112불 든든하다.,112불 든든하다,112불 든든하다.,2025-03-27T23:12:27+09:00
﻿﻿시총이 테슬라보다 큰데 잘밀리네 ㄷ,시총이 테슬라보다 큰데 잘밀리네,시총이 테슬라보다 큰데 잘밀리네 ㄷ,2025-03-27T01:02:26+09:00
﻿﻿올게요 ..,올게요,올게요 ..,2025-03-27T02:12:30+09:00
﻿﻿152500되면 들어가야지,152500되면 들어가야지,152500되면 들어가야지,2025-03-31T20:16:02+09:00
﻿﻿들어갈 기회 언제나 주는구나,들어갈 기회 언제나 주는구나,들어갈 기회 언제나 주는구나,2025-03-31T12:52:20+09:00
﻿﻿난리 났네 난리났어,난리 났네 난리났어,난리 났네 난리났어,2025-03-27T21:30:47+09:00
﻿﻿내가 안보면 오르네. 오늘은 안볼게!,내가 안보면 오르네 오늘은 안볼게,내가 안보면 오르네. 오늘은 안볼게!,2025-04-01T00:36:01+09:00
﻿﻿워랜버핏 주식가라 걍 버크셔b snp500보다 나으니 그만 건들고,워랜버핏 주식가라 걍 버크셔b snp500보다 나으니 그만 건들고,워랜버핏 주식가라 걍 버크셔b snp500보다 나으니 그만 건들고,2025-04-01T06:07:12+09:00
﻿﻿더 떨어져아ㅣㅣ라,더 떨어져아라,더 떨어져아ㅣㅣ라,2025-03-27T20:13:07+09:00
﻿﻿내려가나~  태초마을 가는거나는 ㅜㅜ 내계좌야~~  우리 좋았잖아,내려가나 태초마을 가는거나는 내계좌야 우리 좋았잖아,내려가나 태초마을 가는거나는 ㅜㅜ 내계좌야 우리 좋았잖아,2025-03-27T22:00:26+09:00
﻿﻿오늘 뮤슨일인가요?,오늘 뮤슨일인가요,오늘 뮤슨일인가요?,2025-03-26T23:24:13+09:00
﻿﻿ㅁ물렁물렁~,물렁물렁,ㅁ물렁물렁,2025-03-27T22:44:09+09:00
﻿﻿어지간히해라,어지간히해라,어지간히해라,2025-04-02T00:04:57+09:00
﻿﻿머리가 엔비 사라고 꼬드기는데 뚝배기 깰까요,머리가 엔비 사라고 꼬드기는데 뚝배기 깰까요,머리가 엔비 사라고 꼬드기는데 뚝배기 깰까요,2025-03-28T03:51:12+09:00
﻿﻿NVDA 가격이 5% 떨어졌습니다. NVDL 가격이 10% 떨어졌습니다.  요새 토스 알림 뜨면 이거일까봐 움찔하는 건 나뿐인가?ㅋㅋㅋ,NVDA 가격이 5 떨어졌습니다 NVDL 가격이 10 떨어졌습니다 요새 토스 알림 뜨면 이거일까봐 움찔하는 건 나뿐인가,NVDA 가격이 5 떨어졌습니다. NVDL 가격이 10 떨어졌습니다. 요새 토스 알림 뜨면 이거일까봐 움찔하는 건 나뿐인가?ㅋㅋㅋ,2025-03-27T18:16:52+09:00
﻿﻿요즘 안내려가는 날이 없네,요즘 안내려가는 날이 없네,요즘 안내려가는 날이 없네,2025-03-31T21:10:41+09:00
﻿﻿본장때 또 사야지,본장때 또 사야지,본장때 또 사야지,2025-03-24T20:47:38+09:00
﻿﻿장 안좋을때 앞장서서 몸빵할꺼면 이런날이라도 좀 같이 올라가라 ㅜㅜ,장 안좋을때 앞장서서 몸빵할꺼면 이런날이라도 좀 같이 올라가라,장 안좋을때 앞장서서 몸빵할꺼면 이런날이라도 좀 같이 올라가라 ㅜㅜ,2025-03-24T22:57:48+09:00
﻿﻿활발해지네,활발해지네,활발해지네,2025-03-27T21:30:42+09:00
﻿﻿ㅊㅁ,,ㅊㅁ,2025-03-28T01:51:17+09:00
﻿﻿데자뷰가 따로없노 ㅋㅋㅋ,데자뷰가 따로없노,데자뷰가 따로없노 ㅋㅋㅋ,2025-03-28T19:29:03+09:00
﻿﻿평단 92불인데 진짜 조마조마 하다ㅠ 저번에 120 왔을때 ㅌㅌ 했어야 햇나? 요즘 미장 국장 다 ㅆㄹㄱ 됨ㅜㅜ,평단 92불인데 진짜 조마조마 하다 저번에 120 왔을때 했어야 햇나 요즘 미장 국장 다 됨,평단 92불인데 진짜 조마조마 하다ㅠ 저번에 120 왔을때 ㅌㅌ 했어야 햇나? 요즘 미장 국장 다 ㅆㄹㄱ 됨ㅜㅜ,2025-03-31T20:57:25+09:00
﻿﻿미장 초보자입니다  원 달러 등등의 이유로 원화손실 달러손실의 차이가 큰데 어느 쪽 기준으로 본전에 팔아야 손해가 아닌가요??  수수료 세금 제외,미장 초보자입니다 원 달러 등등의 이유로 원화손실 달러손실의 차이가 큰데 어느 쪽 기준으로 본전에 팔아야 손해가 아닌가요 수수료 세금 제외,미장 초보자입니다 원 달러 등등의 이유로 원화손실 달러손실의 차이가 큰데 어느 쪽 기준으로 본전에 팔아야 손해가 아닌가요?? 수수료 세금 제외,2025-03-25T08:01:06+09:00
﻿﻿어제 안보고 자니까 오르더만 오늘도 안봐야하니.,어제 안보고 자니까 오르더만 오늘도 안봐야하니,어제 안보고 자니까 오르더만 오늘도 안봐야하니.,2025-04-01T23:51:19+09:00
﻿﻿ㅇㅊㅇㅊ,,ㅇㅊㅇㅊ,2025-03-28T17:27:00+09:00
﻿﻿-6퍼정도면 별 생각도 안듦  기다리면 오르것지,6퍼정도면 별 생각도 안듦 기다리면 오르것지,6퍼정도면 별 생각도 안듦 기다리면 오르것지,2025-03-27T03:10:52+09:00
﻿﻿130 갈까유? 어여 탈출하고 싶은데..,130 갈까유 어여 탈출하고 싶은데,130 갈까유? 어여 탈출하고 싶은데..,2025-03-25T00:04:04+09:00
﻿﻿트럼프 개새끼,트럼프 개새끼,트럼프 개새끼,2025-04-01T09:19:55+09:00
﻿﻿올라가!!!!!!!!!!!,올라가,올라가!!!!!!!!!!!,2025-03-24T23:55:26+09:00
﻿﻿콜옵션이 많이 빠지긴했지만 110에 많이 걸려있어 우선 이번주는 괜찮을 것 같습니다. 중국쪽은 어차피 악재가 있었던 터라 중국 이유로는 생각보다 크게 빠질 것 같진 않은데  하필 마소의 대규모 프로젝트 취소로 악재가 생겨버려서 단기적으로는 얼마나 더 빠질지 모르겠네요... 그래도 장기 우상향 확실하니 미국주식 알람 걸어놓고 하따 잡아 봅니다..!,콜옵션이 많이 빠지긴했지만 110에 많이 걸려있어 우선 이번주는 괜찮을 것 같습니다 중국쪽은 어차피 악재가 있었던 터라 중국 이유로는 생각보다 크게 빠질 것 같진 않은데 하필 마소의 대규모 프로젝트 취소로 악재가 생겨버려서 단기적으로는 얼마나 더 빠질지 모르겠네요 그래도 장기 우상향 확실하니 미국주식 알람 걸어놓고 하따 잡아 봅니다,콜옵션이 많이 빠지긴했지만 110에 많이 걸려있어 우선 이번주는 괜찮을 것 같습니다. 중국쪽은 어차피 악재가 있었던 터라 중국 이유로는 생각보다 크게 빠질 것 같진 않은데 하필 마소의 대규모 프로젝트 취소로 악재가 생겨버려서 단기적으로는 얼마나 더 빠질지 모르겠네요... 그래도 장기 우상향 확실하니 미국주식 알람 걸어놓고 하따 잡아 봅니다..!,2025-03-27T10:13:42+09:00
﻿﻿지지선,지지선,지지선,2025-03-31T23:43:51+09:00
﻿﻿본장 116예상,본장 116예상,본장 116예상,2025-03-24T18:33:39+09:00
﻿﻿이래서 트럼프 암살 할려고 그렇게 난리 였구나.. 전세계를 박살 내 놓네..,이래서 트럼프 암살 할려고 그렇게 난리 였구나 전세계를 박살 내 놓네,이래서 트럼프 암살 할려고 그렇게 난리 였구나.. 전세계를 박살 내 놓네..,2025-03-31T21:25:34+09:00
﻿﻿뭐냐 이게 사졌네,뭐냐 이게 사졌네,뭐냐 이게 사졌네,2025-03-28T23:53:35+09:00
﻿﻿전인구 1승,전인구 1승,전인구 1승,2025-03-31T13:25:22+09:00
﻿﻿Nv屋さん 入る 待つ 減る 死ぬ,Nv,Nv,2025-04-02T00:37:05+09:00
﻿﻿ㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋ,2025-03-31T09:10:52+09:00
﻿﻿허이구 조졌네 ㅋㅋ,허이구 조졌네,허이구 조졌네 ㅋㅋ,2025-03-27T03:36:45+09:00
﻿﻿프장 상승분 반납하러 가신답니다,프장 상승분 반납하러 가신답니다,프장 상승분 반납하러 가신답니다,2025-03-24T23:09:53+09:00
﻿﻿무ㅜ여ㅡㅡ,무여,무ㅜ여ㅡㅡ,2025-03-28T22:33:29+09:00
﻿﻿오늘도망해버렷다 ㅋㅋㅋ지짜 웃음뿐 햇수러3년차인데 진짜 제일힘든주다^^ 6일내내 떨궈버리니 답이없네.:,오늘도망해버렷다 지짜 웃음뿐 햇수러3년차인데 진짜 제일힘든주다 6일내내 떨궈버리니 답이없네,오늘도망해버렷다 ㅋㅋㅋ지짜 웃음뿐 햇수러3년차인데 진짜 제일힘든주다 6일내내 떨궈버리니 답이없네.,2025-04-01T23:09:05+09:00
﻿﻿곧 100불 다운,곧 100불 다운,곧 100불 다운,2025-03-31T19:29:39+09:00
﻿﻿ㅋㅋㅋㅋㅋ진짜,진짜,ㅋㅋㅋㅋㅋ진짜,2025-03-28T23:13:01+09:00
﻿﻿•복잡한 조립 과정: GB200 서버 캐비닛 조립이 예상보다 복잡해 설치에 최대 일주일 소요되며 잦은 시스템 충돌 발생.  •생산 일정 지연: GB300 테스트 샘플이 2025년 4분기로 연기되어 대량 생산은 2026년으로 예상.  •대체 시스템 활용: 클라우드 기업들이 성숙된 HGX 8-GPU 시스템으로 전환하며 GB 시리즈를 병목 현상으로 평가.,복잡한 조립 과정 GB200 서버 캐비닛 조립이 예상보다 복잡해 설치에 최대 일주일 소요되며 잦은 시스템 충돌 발생 생산 일정 지연 GB300 테스트 샘플이 2025년 4분기로 연기되어 대량 생산은 2026년으로 예상 대체 시스템 활용 클라우드 기업들이 성숙된 HGX 8GPU 시스템으로 전환하며 GB 시리즈를 병목 현상으로 평가,복잡한 조립 과정 GB200 서버 캐비닛 조립이 예상보다 복잡해 설치에 최대 일주일 소요되며 잦은 시스템 충돌 발생. 생산 일정 지연 GB300 테스트 샘플이 2025년 4분기로 연기되어 대량 생산은 2026년으로 예상. 대체 시스템 활용 클라우드 기업들이 성숙된 HGX 8GPU 시스템으로 전환하며 GB 시리즈를 병목 현상으로 평가.,2025-03-31T20:27:32+09:00
﻿﻿ㅋㅋㅋㅋ  또 시작이네,또 시작이네,ㅋㅋㅋㅋ 또 시작이네,2025-03-28T22:34:15+09:00
﻿﻿양전 마감만 해줘,양전 마감만 해줘,양전 마감만 해줘,2025-04-02T00:08:59+09:00
﻿﻿트라우마 생겨서 다시 주식 못할 거 같음,트라우마 생겨서 다시 주식 못할 거 같음,트라우마 생겨서 다시 주식 못할 거 같음,2025-03-28T22:47:49+09:00
﻿﻿아~ 또 110 가네~ (기뻐하며),아 또 110 가네 기뻐하며,아 또 110 가네 기뻐하며,2025-03-29T00:33:21+09:00
﻿﻿반등 없어??,반등 없어,반등 없어??,2025-03-26T22:46:24+09:00
﻿﻿몸좀담굴게요,몸좀담굴게요,몸좀담굴게요,2025-03-28T00:59:01+09:00
﻿﻿슬슬 찐바닥 가까워진듯  아직은 아님ㅎ,슬슬 찐바닥 가까워진듯 아직은 아님,슬슬 찐바닥 가까워진듯 아직은 아님ㅎ,2025-03-31T21:15:57+09:00
﻿﻿테슬라 안따라가니,테슬라 안따라가니,테슬라 안따라가니,2025-03-24T22:52:13+09:00
﻿﻿얘네 왜 떨어지는 아시나용…ㅠㅠ,얘네 왜 떨어지는 아시나용,얘네 왜 떨어지는 아시나용ㅠㅠ,2025-03-28T23:28:26+09:00
﻿﻿ㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋ,2025-03-25T22:34:36+09:00
﻿﻿20층인데 한강 마렵네 구조대 오냐?,20층인데 한강 마렵네 구조대 오냐,20층인데 한강 마렵네 구조대 오냐?,2025-03-31T14:21:38+09:00
﻿﻿104.78 톡 건드리고 가버리네 피터지는 싸움이군,10478 톡 건드리고 가버리네 피터지는 싸움이군,104.78 톡 건드리고 가버리네 피터지는 싸움이군,2025-03-31T20:32:23+09:00
﻿﻿탑승완료 !,탑승완료,탑승완료 !,2025-03-27T19:37:51+09:00
﻿﻿역시 넌 실망시키는 법이없구나,역시 넌 실망시키는 법이없구나,역시 넌 실망시키는 법이없구나,2025-04-01T06:45:07+09:00
﻿﻿성장주가 비율이 배당주급으로 저평가되있는게 신기하다ㅋㅋㅋㅋ,성장주가 비율이 배당주급으로 저평가되있는게 신기하다,성장주가 비율이 배당주급으로 저평가되있는게 신기하다ㅋㅋㅋㅋ,2025-03-26T23:13:38+09:00
﻿﻿다들 평단 얼마인가요,다들 평단 얼마인가요,다들 평단 얼마인가요,2025-04-02T00:38:04+09:00
﻿﻿엉덩이 무겁게 앉아라 주식은 우리의 인생과 평생 간다고 생각해라  조금 내려도 팔지말고 조금 올라도 팔지마라  무덤까지 가져가라  너는 비록 가난한 삶을 살아도 너의 후대는 풍족한 삶을 살게되니,엉덩이 무겁게 앉아라 주식은 우리의 인생과 평생 간다고 생각해라 조금 내려도 팔지말고 조금 올라도 팔지마라 무덤까지 가져가라 너는 비록 가난한 삶을 살아도 너의 후대는 풍족한 삶을 살게되니,엉덩이 무겁게 앉아라 주식은 우리의 인생과 평생 간다고 생각해라 조금 내려도 팔지말고 조금 올라도 팔지마라 무덤까지 가져가라 너는 비록 가난한 삶을 살아도 너의 후대는 풍족한 삶을 살게되니,2025-03-27T00:52:45+09:00
﻿﻿트럼프 관세 철회,트럼프 관세 철회,트럼프 관세 철회,2025-04-02T02:38:55+09:00
﻿﻿벗꽃보며  놀아요 전고점 가즈아!!!,벗꽃보며 놀아요 전고점 가즈아,벗꽃보며 놀아요 전고점 가즈아!!!,2025-04-01T17:34:53+09:00
﻿﻿다같이 소리지릅시다 C..8,다같이 소리지릅시다 C8,다같이 소리지릅시다 C..8,2025-03-28T23:20:15+09:00
﻿﻿뭐냐 테슬라봐라 콱마,뭐냐 테슬라봐라 콱마,뭐냐 테슬라봐라 콱마,2025-03-24T22:39:10+09:00
﻿﻿얌전할 생각이 없는 거냐,얌전할 생각이 없는 거냐,얌전할 생각이 없는 거냐,2025-03-27T23:04:59+09:00
﻿﻿주가,주가,주가,2025-03-29T02:01:38+09:00
﻿﻿시드 다 박아도 숏으로 갈란다,시드 다 박아도 숏으로 갈란다,시드 다 박아도 숏으로 갈란다,2025-03-30T19:12:12+09:00
﻿﻿그래도 본장 시작한거치고 잘버티는데 110 내려갈줄 알았는데,그래도 본장 시작한거치고 잘버티는데 110 내려갈줄 알았는데,그래도 본장 시작한거치고 잘버티는데 110 내려갈줄 알았는데,2025-03-28T22:59:45+09:00
﻿﻿여러분 드뎌 수익이에요 ㅜㅠ,여러분 드뎌 수익이에요,여러분 드뎌 수익이에요 ㅜㅠ,2025-04-01T22:50:51+09:00
﻿﻿1주당 5만원 하락 맘이 짠하네요 어찌하나,1주당 5만원 하락 맘이 짠하네요 어찌하나,1주당 5만원 하락 맘이 짠하네요 어찌하나,2025-03-31T09:23:37+09:00
﻿﻿뭐야 테슬라는 또 오르네,뭐야 테슬라는 또 오르네,뭐야 테슬라는 또 오르네,2025-04-01T22:50:57+09:00
